div_start,div_end,dividend amount
2012-05-11,2012-08-08,0.379
2012-08-09,2012-11-06,0.379
2012-11-07,2013-02-06,0.379
2013-02-07,2013-05-08,0.436
2013-05-09,2013-08-07,0.436
2013-08-08,2013-11-05,0.436
2013-11-06,2014-02-05,0.436
2014-02-06,2014-05-07,0.47
2014-05-08,2014-08-06,0.47
2014-08-07,2014-11-05,0.47
2014-11-06,2015-02-04,0.47
2015-02-05,2015-05-06,0.52
2015-05-07,2015-08-05,0.52
2015-08-06,2015-11-04,0.52
2015-11-05,2016-02-03,0.52
2016-02-04,2016-05-04,0.57
2016-05-05,2016-08-03,0.57
2016-08-04,2016-11-02,0.57
2016-11-03,2017-02-08,0.57
2017-02-09,2017-05-10,0.63
2017-05-11,2017-08-09,0.63
2017-08-10,2017-11-09,0.63
2017-11-10,2018-02-08,0.63
2018-02-09,2018-05-10,0.73
2018-05-11,2018-08-09,0.73
2018-08-10,2018-11-07,0.73
2018-11-08,2019-02-07,0.73
2019-02-08,2019-05-09,0.77
2019-05-10,2019-08-08,0.77
2019-08-09,2019-11-06,0.77
2019-11-07,2020-02-06,0.77
2020-02-07,2020-05-07,0.82
2020-05-08,2020-08-06,0.82
2020-08-07,2020-11-05,0.82
